Number_of_days,Deployment,DateTime_GMT-07:00,MAX_surface_PAR,Integrated_surface_PAR,Max_underwater_PAR,Integrated_underwater_PAR,PAR_transmission_to_17.1m_depth,Kd-PAR
83,one,2021-08-09 00:00,2162,36.806,358,6.057,16.6,0.105
84,one,2021-08-10 00:00,1499,23.977,312,4.589,22.7,0.087
85,one,2021-08-11 00:00,2402,40.002,465,7.315,20.1,0.094
86,one,2021-08-12 00:00,2016,38.029,414,7.245,21.2,0.091
87,one,2021-08-13 00:00,1879,30.146,392,6,20.7,0.092
88,one,2021-08-14 00:00,1829,33.743,458,5.838,22.2,0.088
89,one,2021-08-15 00:00,1772,44.157,357,6.801,19.8,0.095
90,one,2021-08-16 00:00,2332,31.969,432,5.876,20.5,0.093
91,one,2021-08-17 00:00,1897,35.921,359,5.941,18.1,0.1
92,one,2021-08-18 00:00,1797,41.786,401,7.738,22.2,0.088
93,one,2021-08-19 00:00,2267,35.351,531,7.5,22.9,0.086
94,one,2021-08-20 00:00,2125,42.961,495,8.969,23.9,0.084
95,one,2021-08-21 00:00,2161,34.667,398,6.117,20.9,0.092
96,one,2021-08-22 00:00,2330,16.947,429,3.703,24.5,0.082
97,gap,2021-08-23 00:00,2179,40.706,NA,NA,NA,NA
98,two,2021-08-24 00:00,2299,26.137,588,7.267,30.8,0.069
99,two,2021-08-25 00:00,2112,47.091,502,9.651,23.7,0.084
100,two,2021-08-26 00:00,2062,35.248,523,8.148,26.2,0.078
101,two,2021-08-27 00:00,1269,19.781,385,5.018,29.7,0.071
102,two,2021-08-28 00:00,NA,NA,441,6.164,NA,NA
103,two,2021-08-29 00:00,2019,45.524,495,10.119,25.1,0.081
104,two,2021-08-30 00:00,2136,48.323,533,10.773,26.8,0.077
105,two,2021-08-31 00:00,2236,44.192,565,10.602,25.4,0.08
106,two,2021-09-01 00:00,2374,49.61,615,12.139,26.9,0.077
107,two,2021-09-02 00:00,2214,49.933,617,11.838,28.1,0.074
108,two,2021-09-03 00:00,2381,46.256,585,10.564,26.8,0.077
109,two,2021-09-04 00:00,2206,50.627,561,11.776,26.3,0.078
110,two,2021-09-05 00:00,2016,51.254,536,10.589,24.4,0.082
111,two,2021-09-06 00:00,2429,35.282,501,10.162,27.5,0.076
112,two,2021-09-07 00:00,2254,47.013,535,10.558,24.9,0.081
113,two,2021-09-08 00:00,2549,45.74,632,10.068,26,0.079
114,two,2021-09-09 00:00,2181,52.928,627,10.33,26.7,0.077
115,two,2021-09-10 00:00,2156,43.546,540,10.236,25.1,0.081
116,two,2021-09-11 00:00,2409,41.313,511,8.627,22,0.089
117,two,2021-09-12 00:00,2519,38.958,547,10.467,23.9,0.084
118,two,2021-09-13 00:00,2534,45.557,565,8.127,21,0.091
119,two,2021-09-14 00:00,2399,50.776,612,10.589,25,0.081
120,two,2021-09-15 00:00,2249,43.77,427,8.91,19.5,0.096
121,two,2021-09-16 00:00,2309,45.932,556,7.092,20.8,0.092
122,two,2021-09-17 00:00,2554,39.949,617,9.315,22,0.089
123,two,2021-09-18 00:00,2349,40.511,610,9.615,24.6,0.082
124,two,2021-09-19 00:00,2344,48.437,514,9.169,21.5,0.09
125,two,2021-09-20 00:00,2209,35.875,589,7.659,22.8,0.086
126,two,2021-09-21 00:00,2106,54.62,572,11.613,26,0.079
127,two,2021-09-22 00:00,2374,31.364,508,7.565,24.8,0.082
128,two,2021-09-23 00:00,2446,43.507,605,9.199,25,0.081
129,two,2021-09-24 00:00,2026,51.166,461,9.059,21.6,0.09
130,two,2021-09-25 00:00,2554,31.471,554,5.251,15.8,0.108
131,two,2021-09-26 00:00,2489,53.113,628,12.347,27,0.076
132,two,2021-09-27 00:00,2394,49.467,513,8.884,21.1,0.091
133,two,2021-09-28 00:00,2554,53.421,690,10.883,23.3,0.085
134,two,2021-09-29 00:00,2554,51.255,631,11.912,26.8,0.077
135,two,2021-09-30 00:00,2369,50.466,596,11.76,25.7,0.079
136,two,2021-10-01 00:00,2364,52.737,604,10.912,25,0.081
137,two,2021-10-02 00:00,2171,56.29,587,11.552,26.3,0.078
138,two,2021-10-03 00:00,2554,32.453,617,8.235,27.8,0.075
139,two,2021-10-04 00:00,2526,55.56,617,9.935,25.5,0.08
140,two,2021-10-05 00:00,2391,51.37,539,10.91,23.1,0.086
141,two,2021-10-06 00:00,2284,54.541,470,9.875,21.4,0.09
142,two,2021-10-07 00:00,2149,58.184,570,11.24,26,0.079
143,two,2021-10-08 00:00,2266,56.552,596,11.903,25.9,0.079
144,two,2021-10-09 00:00,2124,56.677,572,11.642,26.4,0.078
145,two,2021-10-10 00:00,2396,52.829,638,11.724,25.5,0.08
146,two,2021-10-11 00:00,2554,50.144,694,11.162,26.1,0.079
147,two,2021-10-12 00:00,2491,41.869,543,9.165,22.7,0.087
148,two,2021-10-13 00:00,2504,38.821,652,8.405,26.3,0.078
149,two,2021-10-14 00:00,2436,46.928,672,10.816,26.9,0.077
150,two,2021-10-15 00:00,2386,53.882,629,13.285,26.4,0.078
151,two,2021-10-16 00:00,2186,58.679,665,13.812,30,0.07
152,two,2021-10-17 00:00,2401,50.098,651,12.217,26,0.079
153,two,2021-10-18 00:00,2399,45.755,629,11.687,27.1,0.076
154,two,2021-10-19 00:00,2554,37.043,709,9.689,29.7,0.071
155,two,2021-10-20 00:00,2554,21.531,433,4.744,20.3,0.093
156,two,2021-10-21 00:00,2434,53.825,664,12.266,26.8,0.077
157,two,2021-10-22 00:00,1401,9.818,213,1.68,16,0.107
158,two,2021-10-23 00:00,2141,38.161,342,4.962,15.2,0.11
159,two,2021-10-24 00:00,1199,9.46,162,1.49,15.9,0.108
160,two,2021-10-25 00:00,2394,26.809,331,4.257,15.8,0.108
161,two,2021-10-26 00:00,2216,53.473,522,9.069,21.6,0.09
162,two,2021-10-27 00:00,2519,55.441,728,12.67,27.4,0.076
163,two,2021-10-28 00:00,1214,13.16,300,2.749,21.3,0.09
164,two,2021-10-29 00:00,2554,58.433,617,10.384,23,0.086
165,two,2021-10-30 00:00,2554,57.847,575,11.559,22.5,0.087
166,two,2021-10-31 00:00,2526,57.091,749,14.574,29.6,0.071
167,two,2021-11-01 00:00,2554,45.694,701,9.427,27.9,0.075
168,two,2021-11-02 00:00,2554,44.824,682,10.425,25.6,0.08
169,two,2021-11-03 00:00,2554,42.119,658,10.762,26.7,0.077
170,two,2021-11-04 00:00,2554,44.182,694,12.383,29.6,0.071
171,two,2021-11-05 00:00,2274,54.765,627,10.848,25.8,0.079
172,two,2021-11-06 00:00,2401,29.717,322,4.287,14.4,0.113
173,two,2021-11-07 00:00,2476,57.917,483,8.199,17.2,0.103
174,two,2021-11-08 00:00,2554,54.524,773,12.296,25.9,0.079
175,two,2021-11-09 00:00,2554,56.557,631,11.474,23.9,0.084
176,two,2021-11-10 00:00,2554,37.694,800,11.613,28.2,0.074
177,two,2021-11-11 00:00,2371,60.239,626,13.47,26.4,0.078
178,two,2021-11-12 00:00,2554,51.4,721,13.532,28.3,0.074
179,two,2021-11-13 00:00,2379,28.132,619,7.858,30.9,0.069
180,two,2021-11-14 00:00,2554,43.48,630,8.572,22.1,0.088
181,two,2021-11-15 00:00,2431,34.753,450,7.907,24.4,0.082
182,two,2021-11-16 00:00,2519,44.258,651,10.899,25.9,0.079
183,two,2021-11-17 00:00,2554,46.712,765,8.907,20.7,0.092
184,two,2021-11-18 00:00,2444,46.097,501,8.035,19.2,0.097
185,two,2021-11-19 00:00,2554,51.063,547,9.521,20.8,0.092
186,two,2021-11-20 00:00,2554,39.913,578,8.49,22.7,0.087
187,two,2021-11-21 00:00,2214,61.911,573,11.881,25.1,0.081
188,two,2021-11-22 00:00,2554,45.049,572,8.693,22,0.088
189,two,2021-11-23 00:00,2446,55.479,668,12.345,26.4,0.078
190,two,2021-11-24 00:00,2319,56.246,615,12.372,24.7,0.082
191,two,2021-11-25 00:00,2436,50.741,622,12.449,26.4,0.078
192,two,2021-11-26 00:00,2336,47.318,641,13.908,28.3,0.074
193,two,2021-11-27 00:00,2504,59.597,637,12.967,26,0.079
194,two,2021-11-28 00:00,2554,40.942,723,10.204,25.2,0.081
195,two,2021-11-29 00:00,2554,37.477,468,5.83,17.5,0.102
196,two,2021-11-30 00:00,2164,40.049,437,7.704,20.5,0.093
197,two,2021-12-01 00:00,2554,42.99,591,8.624,22.5,0.087
198,two,2021-12-02 00:00,2554,45.199,552,9.671,21.6,0.09
199,two,2021-12-03 00:00,2266,58.411,605,12.075,25.5,0.08
200,two,2021-12-04 00:00,2554,53.06,624,11.353,23.8,0.084
201,two,2021-12-05 00:00,2336,59.224,532,11.318,22.3,0.088
202,two,2021-12-06 00:00,2554,43.522,665,8.766,24.6,0.082
203,two,2021-12-07 00:00,2404,41.49,586,10.436,25.3,0.08
204,two,2021-12-08 00:00,2554,57.109,662,12.627,26.3,0.078
205,two,2021-12-09 00:00,2426,62.03,463,10.42,18.9,0.098
206,two,2021-12-10 00:00,2306,62.993,524,10.29,21.4,0.09
207,two,2021-12-11 00:00,2341,57.561,498,9.456,20.2,0.093
208,two,2021-12-12 00:00,2501,61.978,491,10.599,20.6,0.092
209,two,2021-12-13 00:00,2554,50.027,648,10.865,24.2,0.083
210,two,2021-12-14 00:00,2554,30.718,677,7.649,25.9,0.079
211,two,2021-12-15 00:00,2481,49.084,492,9.84,19.2,0.096
212,two,2021-12-16 00:00,2554,38.716,650,5.579,18.3,0.099
213,two,2021-12-17 00:00,2554,56.452,539,8.53,20.8,0.092
214,two,2021-12-18 00:00,2554,55.688,537,7.426,19.5,0.096
215,two,2021-12-19 00:00,1944,30.262,595,5.782,23.5,0.085
216,two,2021-12-20 00:00,2554,48.649,436,6.448,15.2,0.11
217,two,2021-12-21 00:00,2524,49.174,470,6.777,18.1,0.1
218,two,2021-12-22 00:00,2554,49.216,389,6.951,15.5,0.109
219,two,2021-12-23 00:00,2504,60.226,491,10.818,20.2,0.094
220,two,2021-12-24 00:00,2554,52.333,674,11.673,26.2,0.078
221,two,2021-12-25 00:00,2351,50.166,494,10.095,21,0.091
222,two,2021-12-26 00:00,2526,47.239,706,10.987,25.7,0.079
223,two,2021-12-27 00:00,1119,20.691,147,2.889,14.3,0.114
224,two,2021-12-28 00:00,1431,15.721,366,2.728,17.9,0.101
225,two,2021-12-29 00:00,2096,35.414,346,5.515,15.8,0.108
226,two,2021-12-30 00:00,2381,57.212,565,11.596,22.8,0.086
227,two,2021-12-31 00:00,2554,47.902,564,10.656,20.7,0.092
228,two,2022-01-01 00:00,2129,37.824,394,6.846,19,0.097
229,two,2022-01-02 00:00,1786,28.432,400,5.833,22.3,0.088
230,two,2022-01-03 00:00,2554,38.539,548,7.608,20.7,0.092
231,two,2022-01-04 00:00,2554,52.835,580,9.253,21.3,0.09
232,two,2022-01-05 00:00,2554,34.925,631,9.913,30.3,0.07
233,two,2022-01-06 00:00,2554,44.964,605,9.859,23,0.086
234,two,2022-01-07 00:00,2524,60.091,572,12.296,21.8,0.089
235,two,2022-01-08 00:00,2554,39.943,476,6.742,19.1,0.097
236,two,2022-01-09 00:00,2521,32.732,146,2.833,7,0.155
237,two,2022-01-10 00:00,1984,24.424,187,2.347,10.3,0.133
238,two,2022-01-11 00:00,2381,34.327,304,4.265,12.1,0.124
239,two,2022-01-12 00:00,2444,24.494,301,3.543,14,0.115
240,two,2022-01-13 00:00,1116,12.982,133,1.543,12.8,0.12
241,two,2022-01-14 00:00,264,5.051,28,0.539,11.5,0.127
242,two,2022-01-15 00:00,2299,25.669,289,2.404,10.4,0.132
243,two,2022-01-16 00:00,2554,50.601,292,4.459,10.1,0.134
244,two,2022-01-17 00:00,1244,23.4,160,3.106,13.2,0.118
245,two,2022-01-18 00:00,1956,27.403,410,5.15,20.1,0.094
246,two,2022-01-19 00:00,1409,21.421,178,2.544,12.3,0.123
247,two,2022-01-20 00:00,2484,39.121,424,5.299,15.9,0.108
248,two,2022-01-21 00:00,1261,19.642,183,3.03,15.5,0.109
249,two,2022-01-22 00:00,1906,31.783,395,5.469,17.2,0.103
250,two,2022-01-23 00:00,2466,48.766,477,8.051,19.2,0.096
251,two,2022-01-24 00:00,2554,52.068,441,8.009,17.1,0.103
252,two,2022-01-25 00:00,2394,53.746,440,7.463,16.1,0.107
253,two,2022-01-26 00:00,2554,54.034,337,6.567,13,0.119
254,gap,2022-01-27 00:00,2554,51.196,NA,NA,NA,NA
255,three,2022-01-28 00:00,2554,54.283,611,12.178,24.6,0.082
256,three,2022-01-29 00:00,NA,NA,635,9.096,NA,NA
257,three,2022-01-30 00:00,2554,55.462,629,11.01,23.4,0.085
258,three,2022-01-31 00:00,2396,51.388,658,10.699,23.6,0.085
259,three,2022-02-01 00:00,2329,51.844,642,14.808,28.1,0.074
260,three,2022-02-02 00:00,2486,52.238,664,13.467,26.8,0.077
261,three,2022-02-03 00:00,2554,54.533,596,11.71,23.2,0.086
262,three,2022-02-04 00:00,2485,60.993,649,13.583,24.8,0.082
263,three,2022-02-05 00:00,2476,58.189,650,14.836,27.3,0.076
264,three,2022-02-06 00:00,2007,35.556,514,8.467,24.7,0.082
265,three,2022-02-07 00:00,2514,50.296,649,13.237,28.1,0.074
266,three,2022-02-08 00:00,2495,55.186,578,12.987,24.2,0.083
267,three,2022-02-09 00:00,2554,33.73,558,8.672,27,0.077
268,three,2022-02-10 00:00,2554,51.787,724,12.983,28.2,0.074
269,three,2022-02-11 00:00,2459,54.946,706,13.082,27.7,0.075
270,three,2022-02-12 00:00,2554,55.426,617,12.26,23.6,0.085
271,three,2022-02-13 00:00,2547,54.636,655,11.767,25.1,0.081
272,three,2022-02-14 00:00,2492,53.628,581,11.595,23.6,0.084
273,three,2022-02-15 00:00,2412,58.993,428,10.111,18,0.1
274,three,2022-02-16 00:00,2466,50.71,566,12.055,23.3,0.085
275,three,2022-02-17 00:00,2546,51.865,598,11.872,23.5,0.085
276,three,2022-02-18 00:00,2490,47.063,597,10.128,24.6,0.082
277,three,2022-02-19 00:00,2554,47.273,631,10.625,23.7,0.084
278,three,2022-02-20 00:00,2554,46.756,641,11.225,23.8,0.084
279,three,2022-02-21 00:00,2462,55.914,534,10.397,21.5,0.09
280,three,2022-02-22 00:00,2347,44.085,584,12.722,25.6,0.08
281,three,2022-02-23 00:00,2547,53.933,720,12.149,26.2,0.078
282,three,2022-02-24 00:00,2532,50.548,726,13.796,29.3,0.072
283,three,2022-02-25 00:00,2402,59.816,621,13.196,25.3,0.08
284,three,2022-02-26 00:00,2554,54.897,602,13.357,24.9,0.081
285,three,2022-02-27 00:00,2374,61.161,671,13.068,26.8,0.077
286,three,2022-02-28 00:00,2365,56.726,552,10.45,23,0.086
287,three,2022-03-01 00:00,2266,56.212,607,12.116,25.9,0.079
288,three,2022-03-02 00:00,2554,59.066,723,13.893,27.3,0.076
289,three,2022-03-03 00:00,2451,55.024,658,13.956,26.9,0.077
290,three,2022-03-04 00:00,2336,58.048,646,13.875,27.5,0.076
291,three,2022-03-05 00:00,2305,56.905,612,14.091,27.1,0.076
292,three,2022-03-06 00:00,2439,56.088,699,14.192,27.8,0.075
293,three,2022-03-07 00:00,2235,58.104,658,13.949,28.4,0.074
294,three,2022-03-08 00:00,2412,59.503,690,13.79,28,0.074
295,three,2022-03-09 00:00,2359,57.07,598,13.351,26,0.079
296,three,2022-03-10 00:00,2542,58.025,626,12.782,25.3,0.08
297,three,2022-03-11 00:00,2320,55.75,663,14.829,29,0.072
298,three,2022-03-12 00:00,2344,56.809,648,12.889,27.2,0.076
299,three,2022-03-13 00:00,2350,54.035,635,13.293,26.6,0.078
300,three,2022-03-14 00:00,2495,50.969,736,13.192,28,0.074
301,three,2022-03-15 00:00,2250,47.904,633,12.578,27,0.077
302,three,2022-03-16 00:00,2554,53.014,643,13.9,26,0.079
303,three,2022-03-17 00:00,1550,27.322,515,7.859,32.5,0.066
304,three,2022-03-18 00:00,2300,56.833,661,14.534,28.7,0.073
305,three,2022-03-19 00:00,2225,54.245,505,11.417,22.9,0.086
306,three,2022-03-20 00:00,2395,56.672,609,12.688,26.2,0.078
307,three,2022-03-21 00:00,2082,32.615,511,7.149,24,0.083
308,three,2022-03-22 00:00,2530,36.834,706,9.668,28.3,0.074
309,three,2022-03-23 00:00,2209,44.982,568,10.541,25.3,0.08
310,three,2022-03-24 00:00,2414,52.67,535,9.827,23,0.086
311,three,2022-03-25 00:00,2279,53.754,592,12.102,26.6,0.077
312,three,2022-03-26 00:00,2214,52.643,500,10.391,21.2,0.091
313,three,2022-03-27 00:00,2311,51.591,491,9.525,20.7,0.092
314,three,2022-03-28 00:00,2214,53.948,514,11.06,22.3,0.088
315,three,2022-03-29 00:00,2187,53.591,522,11.898,24.1,0.083
316,three,2022-03-30 00:00,2405,40.124,491,9.754,22,0.088
317,three,2022-03-31 00:00,2382,48.632,507,10.15,22,0.089
318,three,2022-04-01 00:00,2554,43.649,630,9.731,25.1,0.081
319,three,2022-04-02 00:00,2490,50.887,614,9.33,23,0.086
320,three,2022-04-03 00:00,2554,44.317,692,10.243,24.5,0.082
321,three,2022-04-04 00:00,2142,45.637,653,11.622,27.6,0.075
322,three,2022-04-05 00:00,2380,44.051,608,13.105,26.8,0.077
323,three,2022-04-06 00:00,2222,49.67,489,9.715,21.5,0.09
324,three,2022-04-07 00:00,2220,51.04,509,10.193,23.8,0.084
325,three,2022-04-08 00:00,2449,50.276,578,10.58,24.5,0.082
326,three,2022-04-09 00:00,2337,44.571,633,10.106,26.2,0.078
327,three,2022-04-10 00:00,2115,37.349,585,8.629,23,0.086
328,three,2022-04-11 00:00,2005,49.718,572,12.423,28,0.075
329,three,2022-04-12 00:00,2050,50.795,583,12.125,28,0.074
330,three,2022-04-13 00:00,1745,21.151,572,5.085,23.9,0.084
331,three,2022-04-14 00:00,2181,48.683,588,11.372,25.4,0.08
332,three,2022-04-15 00:00,2187,49.6,420,10.12,20,0.094
333,three,2022-04-16 00:00,2401,41.949,561,11.515,24.9,0.081
334,three,2022-04-17 00:00,2437,43.073,366,6.504,15.7,0.108
335,three,2022-04-18 00:00,1879,47.717,565,12.303,29.4,0.072
336,three,2022-04-19 00:00,1879,46.876,496,10.313,25.7,0.079
337,three,2022-04-20 00:00,2197,39.608,493,9.954,24.9,0.081
338,three,2022-04-21 00:00,1502,15.791,564,5.165,36.3,0.059
339,three,2022-04-22 00:00,2487,38.774,582,9.071,22.9,0.086
340,three,2022-04-23 00:00,2379,30.638,617,7.802,25.6,0.08
341,three,2022-04-24 00:00,1825,44.044,515,10.532,26.8,0.077
342,three,2022-04-25 00:00,2045,46.16,504,10.426,24.1,0.083
343,three,2022-04-26 00:00,1886,45.002,506,10.752,25.1,0.081
344,gap,2022-04-27 00:00,2125,37.46,NA,NA,NA,NA
345,gap,2022-04-28 00:00,NA,NA,NA,NA,NA,NA
346,four,2022-04-29 00:00,2122,46.116,467,8.171,22.1,0.088
347,four,2022-04-30 00:00,2164,42.782,447,7.915,22.2,0.088
348,four,2022-05-01 00:00,2117,45.156,510,7.865,22.6,0.087
349,four,2022-05-02 00:00,2027,41.49,312,5.209,16,0.107
350,four,2022-05-03 00:00,2221,32.417,388,4.821,17.5,0.102
351,four,2022-05-04 00:00,2355,36.383,422,7.28,20.5,0.093
352,four,2022-05-05 00:00,2210,32.402,342,4.56,15,0.111
353,four,2022-05-06 00:00,2104,37.453,392,6.461,20,0.094
354,four,2022-05-07 00:00,1431,23.896,284,4.621,19.3,0.096
355,four,2022-05-08 00:00,2375,44.063,404,5.421,16.3,0.106
356,four,2022-05-09 00:00,2050,41.869,465,6.778,20.4,0.093
357,four,2022-05-10 00:00,1962,37.894,431,6.671,22.4,0.087
358,four,2022-05-11 00:00,2137,32.242,353,4.798,15.6,0.109
359,four,2022-05-12 00:00,1865,39.902,409,7.371,21.7,0.089
360,four,2022-05-13 00:00,1774,41.353,422,6.975,22.1,0.088
361,four,2022-05-14 00:00,1945,41.329,360,6.136,18.8,0.098
362,four,2022-05-15 00:00,2032,37.658,363,6.207,18.2,0.1
363,four,2022-05-16 00:00,2115,29.093,366,4.818,17.3,0.103
364,four,2022-05-17 00:00,1966,37.115,422,5.874,19.3,0.096
365,four,2022-05-18 00:00,2019,30.921,444,5.685,21.8,0.089
366,four,2022-05-19 00:00,1720,37.718,399,7.064,22.8,0.086
367,four,2022-05-20 00:00,2077,33.472,353,5.415,18.7,0.098
368,four,2022-05-21 00:00,1901,42.947,311,4.981,16.2,0.107
369,four,2022-05-22 00:00,1754,41.2,315,5.623,17.8,0.101
370,four,2022-05-23 00:00,1905,40.505,334,6.335,18.7,0.098
371,four,2022-05-24 00:00,1740,41.522,315,5.878,18.4,0.099
372,four,2022-05-25 00:00,1822,37.98,269,4.73,15.5,0.109
373,four,2022-05-26 00:00,1871,38.634,367,6.134,19.5,0.095
374,four,2022-05-27 00:00,1891,42.009,369,6.71,19.9,0.094
375,four,2022-05-28 00:00,1647,39.429,315,5.85,19,0.097
376,four,2022-05-29 00:00,1696,38.526,353,6.291,20.2,0.094
377,four,2022-05-30 00:00,1675,40.087,290,5.488,17.2,0.103
378,four,2022-05-31 00:00,1594,19.385,179,2.392,13.4,0.118
379,four,2022-06-01 00:00,2087,24.93,403,4.545,23.1,0.086
380,four,2022-06-02 00:00,541,6.283,99,0.977,14.9,0.112
381,four,2022-06-03 00:00,2146,27.35,407,4.955,18.8,0.098
382,four,2022-06-04 00:00,2027,35.528,371,5.741,18.9,0.098
383,four,2022-06-05 00:00,1966,34.611,381,5.767,19.5,0.096
384,four,2022-06-06 00:00,1610,39.317,333,5.96,20,0.094
385,four,2022-06-07 00:00,1761,38.081,336,5.636,19.6,0.095
386,four,2022-06-08 00:00,1695,37.523,362,6.506,21.2,0.091
